NOM_ENT	NOM_MUN
"Aguascalientes"	"Aguascalientes"
"Aguascalientes"	"Asientos"
"Aguascalientes"	"Calvillo"
"Aguascalientes"	"Cosío"
"Aguascalientes"	"Jesús María"
"Aguascalientes"	"Pabellón de Arteaga"
"Aguascalientes"	"Rincón de Romos"
"Aguascalientes"	"San José de Gracia"
"Aguascalientes"	"Tepezalá"
"Aguascalientes"	"El Llano"
"Aguascalientes"	"San Francisco de los Romo"
"Baja California"	"Ensenada"
"Baja California"	"Mexicali"
"Baja California"	"Tecate"
"Baja California"	"Tijuana"
"Baja California"	"Playas de Rosarito"
"Baja California Sur"	"Comondú"
"Baja California Sur"	"Mulegé"
"Baja California Sur"	"La Paz"
"Baja California Sur"	"Los Cabos"
"Baja California Sur"	"Loreto"
"Campeche"	"Calkiní"
"Campeche"	"Campeche"
"Campeche"	"Carmen"
"Campeche"	"Champotón"
"Campeche"	"Hecelchakán"
"Campeche"	"Hopelchén"
"Campeche"	"Palizada"
"Campeche"	"Tenabo"
"Campeche"	"Escárcega"
"Campeche"	"Calakmul"
"Campeche"	"Candelaria"
"Coahuila de Zaragoza"	"Abasolo"
"Coahuila de Zaragoza"	"Acuña"
"Coahuila de Zaragoza"	"Allende"
"Coahuila de Zaragoza"	"Arteaga"
"Coahuila de Zaragoza"	"Candela"
"Coahuila de Zaragoza"	"Castaños"
"Coahuila de Zaragoza"	"Cuatro Ciénegas"
"Coahuila de Zaragoza"	"Escobedo"
"Coahuila de Zaragoza"	"Francisco I. Madero"
"Coahuila de Zaragoza"	"Frontera"
"Coahuila de Zaragoza"	"General Cepeda"
"Coahuila de Zaragoza"	"Guerrero"
"Coahuila de Zaragoza"	"Hidalgo"
"Coahuila de Zaragoza"	"Jiménez"
"Coahuila de Zaragoza"	"Juárez"
"Coahuila de Zaragoza"	"Lamadrid"
"Coahuila de Zaragoza"	"Matamoros"
"Coahuila de Zaragoza"	"Monclova"
"Coahuila de Zaragoza"	"Morelos"
"Coahuila de Zaragoza"	"Múzquiz"
"Coahuila de Zaragoza"	"Nadadores"
"Coahuila de Zaragoza"	"Nava"
"Coahuila de Zaragoza"	"Ocampo"
"Coahuila de Zaragoza"	"Parras"
"Coahuila de Zaragoza"	"Piedras Negras"
"Coahuila de Zaragoza"	"Progreso"
"Coahuila de Zaragoza"	"Ramos Arizpe"
"Coahuila de Zaragoza"	"Sabinas"
"Coahuila de Zaragoza"	"Sacramento"
"Coahuila de Zaragoza"	"Saltillo"
